Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group,Migration Culture,Migration Economy
oi6,"['cwn', 'ka0', '88o', 'kd6']","['cwn', 'ka0', '88o', 'kd6']",['cwn'],['ka0'],"['cwn', '88o']",[],"[('cwn', 2.7), ('ka0', 2.0), ('88o', 3.7), ('kd6', 1.7)]","[('cwn', 1.0), ('ka0', 3.0), ('88o', 2.0), ('kd6', 4.0)]","[('cwn', 1.0), ('ka0', 2.0), ('88o', 1.0), ('kd6', 2.0)]","[('cwn', 1.0), ('ka0', 2.0), ('88o', 1.0), ('kd6', 2.0)]","[('cwn', 7.0), ('ka0', 6.0), ('88o', 7.0), ('kd6', 6.0)]"
467,['z3j'],['z3j'],[],[],[],[],"[('z3j', 2.3)]","[('z3j', 4.0)]","[('z3j', 1.0)]","[('z3j', 3.0)]","[('z3j', 6.0)]"
cwn,"['88o', 'oi6', 'kd6', 'ka0']","['88o', 'oi6', 'kd6', 'ka0']","['kd6', 'ka0']",['88o'],['88o'],['88o'],"[('88o', 3.3), ('oi6', 3.0), ('kd6', 3.0), ('ka0', 3.0)]","[('88o', 1.0), ('oi6', 1.0), ('kd6', 4.0), ('ka0', 4.0)]","[('88o', 1.0), ('oi6', 1.0), ('kd6', 2.0), ('ka0', 2.0)]","[('88o', 1.0), ('oi6', 1.0), ('kd6', 3.0), ('ka0', 3.0)]","[('88o', 7.0), ('oi6', 7.0), ('kd6', 7.0), ('ka0', 6.0)]"
ka0,"['oi6', 'cwn', 'kd6']","['oi6', 'kd6']",['cwn'],[],[],[],"[('oi6', 3.7), ('cwn', 3.7), ('kd6', 3.7)]","[('oi6', 1.0), ('cwn', 4.0), ('kd6', 7.0)]","[('oi6', 1.0), ('cwn', 2.0), ('kd6', 1.0)]","[('oi6', 1.0), ('cwn', 2.0), ('kd6', 2.0)]","[('oi6', 7.0), ('cwn', 6.0), ('kd6', 5.0)]"
kd6,"['cwn', 'oi6']",[],[],"['cwn', 'oi6']",[],[],"[('cwn', 3.3), ('oi6', 3.3)]","[('cwn', 2.0), ('oi6', 2.0)]","[('cwn', 3.0), ('oi6', 3.0)]","[('cwn', 1.0), ('oi6', 1.0)]","[('cwn', 7.0), ('oi6', 7.0)]"
8fi,"['msn', 'iqk', 'ol7', 'qlq']","['msn', 'iqk', 'ol7', 'qlq']",[],[],[],[],"[('msn', 3.0), ('iqk', 2.3), ('ol7', 2.3), ('qlq', 2.3)]","[('msn', 4.0), ('iqk', 4.0), ('ol7', 4.0), ('qlq', 4.0)]","[('msn', 1.0), ('iqk', 1.0), ('ol7', 1.0), ('qlq', 1.0)]","[('msn', 2.0), ('iqk', 2.0), ('ol7', 2.0), ('qlq', 2.0)]","[('msn', 6.0), ('iqk', 6.0), ('ol7', 6.0), ('qlq', 6.0)]"
5nw,"['8yu', '8mx', 'r3x']",['8yu'],[],[],[],[],"[('8yu', 1.0)]","[('8yu', 1.0)]","[('8yu', 1.0)]","[('8yu', 2.0)]","[('8yu', 7.0)]"
5or,[],[],[],[],[],[],[],[],[],[],[]
3s1,"['qdi', 'cx9']","['qdi', 'cx9']",['qdi'],"['qdi', 'cx9']",[],[],"[('qdi', 1.7), ('cx9', 3.7)]","[('qdi', 8.0), ('cx9', 9.0)]","[('qdi', 1.0), ('cx9', 1.0)]","[('qdi', 3.0), ('cx9', 3.0)]","[('qdi', 6.0), ('cx9', 6.0)]"
ump,['qhg'],['qhg'],[],['qhg'],['qhg'],[],"[('qhg', 2.3)]","[('qhg', 4.0)]","[('qhg', 1.0)]","[('qhg', 2.0)]","[('qhg', 5.0)]"
l9e,"['n4r', 'wv9']","['n4r', 'wv9']",[],[],[],[],"[('n4r', 2.7), ('wv9', 2.7)]","[('n4r', 4.0), ('wv9', 4.0)]","[('n4r', 1.0), ('wv9', 1.0)]","[('n4r', 2.0), ('wv9', 2.0)]","[('n4r', 5.0), ('wv9', 5.0)]"
zda,"['pdp', 'iy3']","['pdp', 'iy3']",[],[],[],[],"[('pdp', 2.0), ('iy3', 2.0)]","[('pdp', 2.0), ('iy3', 3.0)]","[('pdp', 1.0), ('iy3', 1.0)]","[('pdp', 3.0), ('iy3', 3.0)]","[('pdp', 5.0), ('iy3', 5.0)]"
aq6,"['qip', 'cx9', 'r3x', 'qdi', '7w1']","['qip', 'cx9', 'r3x', 'qdi', '7w1']",[],[],[],[],"[('qip', 2.0), ('cx9', 2.3), ('r3x', 2.3), ('qdi', 2.0), ('7w1', 2.3)]","[('qip', 2.0), ('cx9', 2.0), ('r3x', 2.0), ('qdi', 2.0), ('7w1', 2.0)]","[('qip', 1.0), ('cx9', 1.0), ('r3x', 1.0), ('qdi', 1.0), ('7w1', 1.0)]","[('qip', 0.0), ('cx9', 0.0), ('r3x', 0.0), ('qdi', 0.0), ('7w1', 0.0)]","[('qip', 0.0), ('cx9', 0.0), ('r3x', 0.0), ('qdi', 0.0), ('7w1', 0.0)]"
dq4,"['fno', '7y2', 'm7x']","['fno', '7y2', 'm7x']",[],[],[],[],"[('fno', 2.0), ('7y2', 2.7), ('m7x', 2.0)]","[('m7x', 3.0)]","[('fno', 2.0), ('7y2', 1.0), ('m7x', 1.0)]","[('fno', 1.0), ('7y2', 1.0), ('m7x', 1.0)]","[('fno', 6.0), ('7y2', 6.0), ('m7x', 6.0)]"
199,"['467', 'zfv', '7mf']",['467'],[],['7mf'],[],[],"[('467', 2.0), ('zfv', 2.7), ('7mf', 1.3)]","[('467', 3.0), ('zfv', 4.0), ('7mf', 7.0)]","[('467', 1.0), ('zfv', 2.0), ('7mf', 1.0)]","[('467', 3.0), ('zfv', 4.0), ('7mf', 5.0)]","[('467', 5.0), ('zfv', 4.0), ('7mf', 3.0)]"
28t,"['15f', 'ak1']","['15f', 'ak1']",[],[],[],[],"[('15f', 1.0), ('ak1', 1.0)]","[('15f', 2.0), ('ak1', 3.0)]","[('15f', 1.0), ('ak1', 2.0)]","[('15f', 1.0), ('ak1', 1.0)]","[('15f', 6.0), ('ak1', 5.0)]"
r3x,"['1cb', 'aq6', 'qip', '44p', 'wto', 'jed']","['1cb', 'aq6', 'qip', '44p', 'wto', 'jed']",[],[],[],['jed'],"[('1cb', 2.7), ('aq6', 2.7), ('qip', 2.7), ('44p', 2.7), ('wto', 2.7), ('jed', 2.7)]","[('1cb', 2.0), ('aq6', 2.0), ('qip', 2.0), ('44p', 2.0), ('wto', 2.0), ('jed', 4.0)]","[('1cb', 2.0), ('aq6', 2.0), ('qip', 2.0), ('44p', 2.0), ('wto', 2.0), ('jed', 1.0)]","[('1cb', 1.0), ('aq6', 1.0), ('qip', 1.0), ('44p', 1.0), ('wto', 1.0), ('jed', 1.0)]","[('1cb', 7.0), ('aq6', 7.0), ('qip', 7.0), ('44p', 7.0), ('wto', 7.0), ('jed', 7.0)]"
jne,[],[],[],[],[],[],[],[],[],[],[]
upq,"['hyf', 'oev', 'vug', 'nre', 'n64', '6z8']","['hyf', 'vug', 'nre', 'n64']","['oev', 'vug']","['hyf', 'oev', 'vug', 'nre']","['oev', 'vug', 'nre', 'n64', '6z8']",['oev'],"[('hyf', 0), ('oev', 0), ('vug', 0), ('nre', 0), ('n64', 0), ('6z8', 0)]","[('hyf', 2.0), ('oev', 2.0), ('vug', 2.0), ('nre', 2.0), ('n64', 2.0), ('6z8', 2.0)]","[('hyf', 1.0), ('oev', 2.0), ('vug', 1.0), ('nre', 1.0), ('n64', 1.0), ('6z8', 1.0)]","[('hyf', 2.0), ('oev', 2.0), ('vug', 2.0), ('nre', 2.0), ('n64', 2.0), ('6z8', 2.0)]","[('hyf', 6.0), ('oev', 6.0), ('vug', 6.0), ('nre', 6.0), ('n64', 6.0), ('6z8', 6.0)]"
98q,"['nre', '6z8']","['nre', '6z8']",[],[],[],[],"[('nre', 2.0), ('6z8', 2.0)]","[('nre', 3.0), ('6z8', 2.0)]","[('nre', 1.0), ('6z8', 1.0)]","[('nre', 1.0), ('6z8', 1.0)]","[('nre', 6.0), ('6z8', 6.0)]"
afp,"['un5', '843']","['un5', '843']",[],[],[],[],"[('un5', 1.7), ('843', 2.3)]","[('un5', 8.0), ('843', 5.0)]","[('un5', 1.0), ('843', 1.0)]","[('un5', 5.0), ('843', 3.0)]","[('un5', 3.0), ('843', 5.0)]"
joy,"['6t0', 'w9x', 'g52', 'j0g']","['6t0', 'w9x', 'g52', 'j0g']","['6t0', 'w9x', 'g52', 'j0g']","['6t0', 'w9x', 'g52', 'j0g']",[],[],"[('6t0', 2.0), ('w9x', 2.3), ('g52', 1.7), ('j0g', 2.0)]","[('6t0', 5.0), ('w9x', 6.0), ('g52', 6.0), ('j0g', 5.0)]","[('6t0', 1.0), ('w9x', 1.0), ('g52', 1.0), ('j0g', 1.0)]","[('6t0', 3.0), ('w9x', 2.0), ('g52', 1.0), ('j0g', 2.0)]","[('6t0', 6.0), ('w9x', 7.0), ('g52', 6.0), ('j0g', 7.0)]"
4aw,[],[],[],[],[],[],[],[],[],[],[]
4z1,[],[],[],[],[],[],[],[],[],[],[]
tuf,"['pr2', '6b9', 'fle', '8ke', 'cx9']","['pr2', '6b9']",[],"['pr2', '6b9', '8ke', 'cx9']",[],[],"[('pr2', 2.3), ('6b9', 2.3), ('fle', 0), ('8ke', 0), ('cx9', 0)]","[('pr2', 2.0), ('6b9', 2.0), ('fle', 2.0), ('8ke', 2.0), ('cx9', 2.0)]","[('pr2', 1.0), ('6b9', 1.0), ('fle', 2.0), ('8ke', 3.0), ('cx9', 4.0)]","[('pr2', 2.0), ('6b9', 2.0), ('fle', 2.0), ('8ke', 2.0), ('cx9', 2.0)]","[('pr2', 6.0), ('6b9', 6.0), ('fle', 6.0), ('8ke', 6.0), ('cx9', 6.0)]"
00v,"['obm', 'n3q']","['obm', 'n3q']",[],"['obm', 'n3q']",[],[],[],"[('obm', 4.0), ('n3q', 3.0)]","[('obm', 1.0), ('n3q', 1.0)]","[('obm', 2.0), ('n3q', 2.0)]","[('obm', 5.0), ('n3q', 5.0)]"
zme,['oae'],['oae'],[],[],[],[],"[('oae', 2.7)]","[('oae', 5.0)]","[('oae', 1.0)]","[('oae', 1.0)]","[('oae', 7.0)]"
zit,"['fle', 'gd8', 'xfz', 'w9x', 'j0g', '2g7']","['fle', 'gd8', 'xfz', 'w9x', 'j0g', '2g7']",[],"['xfz', 'j0g']",[],[],"[('fle', 2.0), ('gd8', 2.0), ('xfz', 2.0), ('w9x', 2.0), ('j0g', 2.0), ('2g7', 2.0)]","[('fle', 5.0), ('gd8', 4.0), ('xfz', 4.0), ('w9x', 5.0), ('j0g', 4.0), ('2g7', 0.0)]","[('fle', 1.0), ('gd8', 1.0), ('xfz', 1.0), ('w9x', 1.0), ('j0g', 1.0), ('2g7', 1.0)]","[('fle', 2.0), ('gd8', 2.0), ('xfz', 2.0), ('w9x', 2.0), ('j0g', 2.0), ('2g7', 2.0)]","[('fle', 6.0), ('gd8', 6.0), ('xfz', 6.0), ('w9x', 6.0), ('j0g', 6.0), ('2g7', 6.0)]"
qhg,"['ump', 'r75', '8st']","['ump', '8st']",[],['r75'],[],[],"[('ump', 1.7), ('r75', 2.7), ('8st', 3.3)]","[('ump', 4.0), ('r75', 3.0), ('8st', 7.0)]","[('ump', 1.0), ('r75', 2.0), ('8st', 3.0)]","[('ump', 2.0), ('r75', 2.0), ('8st', 6.0)]","[('ump', 6.0), ('r75', 6.0), ('8st', 2.0)]"
q9a,"['8ql', 'jed', 'dky']","['8ql', 'jed', 'dky']",[],[],['jed'],[],"[('8ql', 2.3), ('jed', 1.7)]","[('8ql', 3.0), ('jed', 3.0), ('dky', 3.0)]","[('8ql', 1.0), ('jed', 1.0), ('dky', 1.0)]","[('8ql', 2.0), ('jed', 2.0), ('dky', 2.0)]","[('8ql', 6.0), ('jed', 6.0), ('dky', 6.0)]"
15f,['28t'],['28t'],['28t'],[],[],[],"[('28t', 1.0)]","[('28t', 4.0)]","[('28t', 1.0)]","[('28t', 1.0)]","[('28t', 7.0)]"
58c,"['xfz', 'x27']","['xfz', 'x27']","['xfz', 'x27']",['xfz'],['xfz'],[],"[('xfz', 3.0), ('x27', 3.0)]","[('xfz', 4.0), ('x27', 0.0)]","[('xfz', 1.0), ('x27', 1.0)]","[('xfz', 6.0), ('x27', 0.0)]","[('xfz', 6.0), ('x27', 0.0)]"
li1,"['cuz', '2fc']","['cuz', '2fc']","['cuz', '2fc']","['cuz', '2fc']",[],[],"[('cuz', 2.0), ('2fc', 1.3)]","[('cuz', 5.0), ('2fc', 0.0)]","[('cuz', 1.0), ('2fc', 1.0)]","[('cuz', 0.0), ('2fc', 0.0)]","[('cuz', 0.0), ('2fc', 0.0)]"
rcd,"['hcw', '8dw', '6hy', 'ier']",[],[],"['hcw', '8dw', '6hy', 'ier']",[],[],"[('hcw', 2.0), ('8dw', 2.0), ('6hy', 2.0), ('ier', 2.0)]","[('hcw', 4.0), ('8dw', 4.0), ('6hy', 4.0), ('ier', 4.0)]","[('hcw', 1.0), ('8dw', 2.0), ('6hy', 3.0), ('ier', 4.0)]","[('hcw', 3.0), ('8dw', 3.0), ('6hy', 3.0), ('ier', 3.0)]","[('hcw', 5.0), ('8dw', 5.0), ('6hy', 5.0), ('ier', 5.0)]"
un5,"['afp', '843']","['afp', '843']",[],[],[],[],"[('afp', 2.3), ('843', 3.3)]","[('afp', 3.0), ('843', 6.0)]","[('afp', 1.0), ('843', 1.0)]","[('afp', 3.0), ('843', 5.0)]","[('afp', 6.0), ('843', 5.0)]"
8lm,"['3dg', '9jr', 'uqn', 'qlq']","['3dg', '9jr', 'uqn', 'qlq']",['9jr'],"['3dg', '9jr', 'uqn', 'qlq']",[],[],"[('3dg', 1.7), ('9jr', 1.0), ('uqn', 1.3), ('qlq', 1.0)]","[('3dg', 5.0), ('9jr', 5.0), ('uqn', 5.0), ('qlq', 5.0)]","[('3dg', 1.0), ('9jr', 2.0), ('uqn', 1.0), ('qlq', 3.0)]","[('3dg', 2.0), ('9jr', 2.0), ('uqn', 3.0), ('qlq', 2.0)]","[('3dg', 5.0), ('9jr', 5.0), ('uqn', 6.0), ('qlq', 7.0)]"
87a,"['ier', '3ue']","['ier', '3ue']",[],[],[],[],"[('ier', 1.0), ('3ue', 1.0)]","[('ier', 3.0), ('3ue', 3.0)]","[('ier', 1.0), ('3ue', 2.0)]","[('ier', 1.0), ('3ue', 1.0)]","[('ier', 5.0), ('3ue', 5.0)]"
8bz,"['qoh', 'mjb', 'g8f', '15f', '1ds']","['qoh', 'mjb', 'g8f', '15f', '1ds']",[],[],[],[],"[('qoh', 2.0), ('mjb', 2.0), ('g8f', 5.0), ('15f', 2.0), ('1ds', 2.0)]","[('qoh', 6.0), ('mjb', 6.0), ('g8f', 11.0), ('15f', 6.0), ('1ds', 6.0)]","[('qoh', 1.0), ('mjb', 1.0), ('g8f', 1.0), ('15f', 1.0), ('1ds', 1.0)]","[('qoh', 4.0), ('mjb', 4.0), ('g8f', 6.0), ('15f', 4.0), ('1ds', 4.0)]","[('qoh', 4.0), ('mjb', 4.0), ('g8f', 1.0), ('15f', 4.0), ('1ds', 4.0)]"
iqk,"['8fi', 'qlq', 'ol7', 'cp4', 'hxt']","['8fi', 'qlq', 'ol7', 'cp4', 'hxt']",[],"['8fi', 'qlq', 'ol7', 'cp4', 'hxt']",[],[],"[('8fi', 1.7), ('qlq', 1.7), ('ol7', 1.7), ('cp4', 1.7), ('hxt', 1.7)]","[('8fi', 4.0), ('qlq', 4.0), ('ol7', 4.0), ('cp4', 4.0), ('hxt', 4.0)]","[('8fi', 1.0), ('qlq', 1.0), ('ol7', 1.0), ('cp4', 1.0), ('hxt', 1.0)]","[('8fi', 1.0), ('qlq', 1.0), ('ol7', 1.0), ('cp4', 1.0), ('hxt', 1.0)]","[('8fi', 7.0), ('qlq', 7.0), ('ol7', 7.0), ('cp4', 7.0), ('hxt', 7.0)]"
ak1,"['15f', '28t']",['28t'],[],[],[],[],[],"[('15f', 1.0), ('28t', 1.0)]",[],"[('15f', 1.0), ('28t', 1.0)]","[('15f', 7.0), ('28t', 7.0)]"
hxt,"['qlq', 'msn', '8fi', 'iqk', 'ol7', 'cp4', '3dg']","['qlq', 'msn', '8fi', 'iqk', 'ol7', 'cp4', '3dg']",[],"['qlq', 'msn', '8fi', 'iqk', 'ol7', 'cp4', '3dg']","['qlq', 'msn', '8fi', 'iqk', 'ol7', 'cp4', '3dg']",[],"[('qlq', 2.3), ('msn', 2.3), ('8fi', 2.3), ('iqk', 2.3), ('ol7', 2.3), ('cp4', 2.3), ('3dg', 2.3)]","[('qlq', 3.0), ('msn', 4.0), ('8fi', 4.0), ('iqk', 4.0), ('ol7', 2.0), ('cp4', 4.0), ('3dg', 4.0)]","[('qlq', 1.0), ('msn', 1.0), ('8fi', 1.0), ('iqk', 1.0), ('ol7', 1.0), ('cp4', 1.0), ('3dg', 2.0)]","[('qlq', 2.0), ('msn', 2.0), ('8fi', 2.0), ('iqk', 2.0), ('ol7', 2.0), ('cp4', 2.0), ('3dg', 2.0)]","[('qlq', 6.0), ('msn', 6.0), ('8fi', 6.0), ('iqk', 6.0), ('ol7', 6.0), ('cp4', 6.0), ('3dg', 6.0)]"
it8,[],[],[],[],[],[],[],[],[],[],[]
0fo,"['cav', 'yyj', 'hro', 'wom', 'ayq']","['cav', 'yyj', 'hro', 'wom', 'ayq']",[],['hro'],[],['wom'],"[('cav', 2.0), ('yyj', 2.0), ('hro', 2.0), ('wom', 2.0), ('ayq', 2.0)]","[('cav', 4.0), ('yyj', 5.0), ('hro', 4.0), ('wom', 5.0), ('ayq', 4.0)]","[('cav', 1.0), ('yyj', 1.0), ('hro', 1.0), ('wom', 1.0), ('ayq', 1.0)]","[('cav', 3.0), ('yyj', 4.0), ('hro', 3.0), ('wom', 5.0), ('ayq', 2.0)]","[('cav', 6.0), ('yyj', 3.0), ('hro', 5.0), ('wom', 2.0), ('ayq', 6.0)]"
2k4,"['ph3', 'fph', '8mx']","['ph3', 'fph', '8mx']",[],"['ph3', 'fph', '8mx']",[],[],"[('ph3', 3.0), ('fph', 1.3), ('8mx', 1.3)]","[('ph3', 3.0), ('fph', 3.0), ('8mx', 3.0)]","[('ph3', 1.0), ('fph', 1.0), ('8mx', 1.0)]","[('ph3', 2.0), ('fph', 2.0), ('8mx', 2.0)]","[('ph3', 7.0), ('fph', 7.0), ('8mx', 7.0)]"
jed,"['8ql', 'q9a', 'dky']","['8ql', 'q9a', 'dky']",[],[],[],[],"[('8ql', 2.3), ('q9a', 1.3), ('dky', 2.0)]","[('8ql', 2.0), ('q9a', 3.0), ('dky', 2.0)]","[('8ql', 2.0), ('q9a', 1.0), ('dky', 2.0)]","[('8ql', 1.0), ('q9a', 1.0), ('dky', 1.0)]","[('8ql', 7.0), ('q9a', 7.0), ('dky', 7.0)]"
ras,"['poi', 'vpi', 'ljz', 'go4', 'fsu']","['poi', 'vpi', 'ljz', 'go4', 'fsu']","['poi', 'vpi', 'ljz', 'go4']","['poi', 'vpi', 'go4']","['poi', 'vpi', 'ljz', 'go4']",[],"[('poi', 2.0), ('vpi', 2.0), ('ljz', 2.0), ('go4', 2.7), ('fsu', 0)]","[('poi', 4.0), ('vpi', 0.0), ('ljz', 4.0), ('go4', 3.0), ('fsu', 0.0)]","[('poi', 1.0), ('vpi', 1.0), ('ljz', 1.0), ('go4', 1.0), ('fsu', 1.0)]","[('poi', 3.0), ('vpi', 5.0), ('ljz', 5.0), ('go4', 2.0), ('fsu', 0.0)]","[('poi', 6.0), ('vpi', 6.0), ('ljz', 5.0), ('go4', 6.0), ('fsu', 4.0)]"
oev,"['upq', '98q', 'nre', 'n64', '6z8', 'vug']","['upq', '98q', 'nre', 'n64', '6z8', 'vug']",['upq'],['upq'],"['upq', '98q', 'nre', 'n64', '6z8', 'vug']",['upq'],"[('upq', 2.0), ('98q', 2.0), ('nre', 2.0), ('n64', 2.0), ('6z8', 2.0), ('vug', 2.0)]","[('upq', 3.0), ('98q', 3.0), ('nre', 3.0), ('n64', 3.0), ('6z8', 3.0), ('vug', 3.0)]","[('upq', 1.0), ('98q', 2.0), ('nre', 2.0), ('n64', 2.0), ('6z8', 2.0), ('vug', 2.0)]","[('upq', 2.0), ('98q', 2.0), ('nre', 2.0), ('n64', 2.0), ('6z8', 2.0), ('vug', 2.0)]","[('upq', 6.0), ('98q', 6.0), ('nre', 6.0), ('n64', 6.0), ('6z8', 6.0), ('vug', 6.0)]"
osf,['dzv'],['dzv'],['dzv'],[],['dzv'],[],"[('dzv', 3.0)]","[('dzv', 6.0)]","[('dzv', 1.0)]","[('dzv', 3.0)]","[('dzv', 5.0)]"
3dg,"['8lm', '9jr', 'm7x', 'uqn']","['8lm', '9jr', 'm7x', 'uqn']",[],[],[],[],"[('8lm', 2.0), ('9jr', 2.0), ('m7x', 2.0), ('uqn', 2.0)]","[('8lm', 5.0), ('9jr', 5.0), ('m7x', 5.0), ('uqn', 5.0)]","[('8lm', 1.0), ('9jr', 1.0), ('uqn', 1.0)]","[('8lm', 5.0), ('9jr', 5.0), ('m7x', 5.0), ('uqn', 5.0)]","[('8lm', 6.0), ('9jr', 6.0), ('m7x', 6.0), ('uqn', 6.0)]"
a3g,[],[],[],[],[],[],[],[],[],[],[]
8wd,"['2g7', 'gg1', '843', '8lm', 'wto', 'ump', 'yws', 'tco', 'qhg']",[],[],[],[],[],"[('2g7', 3.0), ('gg1', 3.0), ('843', 3.0), ('8lm', 3.0), ('wto', 3.0), ('ump', 3.0), ('yws', 3.0), ('tco', 3.0), ('qhg', 3.0)]","[('2g7', 1.0), ('gg1', 1.0), ('843', 1.0), ('8lm', 1.0), ('wto', 1.0), ('ump', 1.0), ('yws', 1.0), ('tco', 1.0), ('qhg', 1.0)]","[('2g7', 50.0), ('gg1', 6.0), ('843', 7.0), ('8lm', 2.0), ('wto', 1.0), ('ump', 3.0), ('yws', 0.0), ('tco', 49.0), ('qhg', 25.0)]","[('2g7', 1.0), ('gg1', 1.0), ('843', 1.0), ('8lm', 1.0), ('wto', 1.0), ('ump', 1.0), ('yws', 1.0), ('tco', 1.0), ('qhg', 1.0)]","[('2g7', 7.0), ('gg1', 7.0), ('843', 7.0), ('8lm', 7.0), ('wto', 7.0), ('ump', 7.0), ('yws', 7.0), ('tco', 7.0), ('qhg', 7.0)]"
iy3,"['pdp', '7y2', 'zda']","['pdp', '7y2', 'zda']",[],"['pdp', 'zda']",[],[],"[('pdp', 3.3), ('7y2', 3.3), ('zda', 2.3)]","[('pdp', 2.0), ('7y2', 4.0), ('zda', 4.0)]","[('pdp', 1.0), ('7y2', 2.0), ('zda', 3.0)]","[('pdp', 2.0), ('7y2', 3.0), ('zda', 2.0)]","[('pdp', 7.0), ('7y2', 0.0), ('zda', 5.0)]"
zvr,['t6m'],['t6m'],['t6m'],['t6m'],['t6m'],[],"[('t6m', 2.3)]","[('t6m', 3.0)]","[('t6m', 1.0)]","[('t6m', 1.0)]","[('t6m', 6.0)]"
dn0,['gh9'],['gh9'],[],[],[],[],"[('gh9', 3.3)]","[('gh9', 7.0)]","[('gh9', 1.0)]","[('gh9', 3.0)]","[('gh9', 6.0)]"
wep,"['m80', 'xqb', 'cx9', 'x9g', 'xfz', 'xxy', 'xsk']","['m80', 'cx9', 'xfz', 'xsk']",['m80'],['m80'],"['m80', 'cx9', 'x9g', 'xxy']",[],"[('m80', 1.0), ('xqb', 1.7), ('cx9', 2.0), ('xfz', 1.7), ('xxy', 3.0), ('xsk', 3.0)]","[('m80', 6.0), ('xqb', 3.0), ('cx9', 6.0), ('x9g', 3.0), ('xfz', 6.0), ('xxy', 7.0), ('xsk', 3.0)]","[('m80', 1.0), ('xqb', 2.0), ('cx9', 3.0), ('x9g', 1.0), ('xfz', 4.0), ('xxy', 3.0), ('xsk', 1.0)]","[('m80', 5.0), ('xqb', 4.0), ('cx9', 6.0), ('x9g', 6.0), ('xfz', 5.0), ('xxy', 6.0), ('xsk', 5.0)]","[('m80', 6.0), ('xqb', 5.0), ('cx9', 5.0), ('x9g', 6.0), ('xfz', 6.0), ('xxy', 5.0), ('xsk', 5.0)]"
h3h,"['rji', 'cx9', '8ke', 'bjp', 'l7r', 'u5b', '30d']","['rji', 'cx9', '8ke', 'bjp', 'l7r', 'u5b', '30d']","['bjp', 'l7r', '30d']","['bjp', 'l7r', 'u5b', '30d']",['l7r'],[],"[('rji', 2.7), ('cx9', 2.7), ('8ke', 2.3), ('bjp', 2.7), ('l7r', 2.3), ('u5b', 2.7), ('30d', 2.3)]","[('rji', 6.0), ('cx9', 4.0), ('8ke', 4.0), ('bjp', 4.0), ('l7r', 4.0), ('u5b', 4.0), ('30d', 4.0)]","[('rji', 1.0), ('cx9', 1.0), ('8ke', 1.0), ('bjp', 1.0), ('l7r', 1.0), ('u5b', 1.0), ('30d', 1.0)]","[('rji', 1.0), ('cx9', 1.0), ('8ke', 1.0), ('bjp', 1.0), ('l7r', 1.0), ('u5b', 1.0), ('30d', 1.0)]","[('rji', 6.0), ('cx9', 6.0), ('8ke', 6.0), ('bjp', 6.0), ('l7r', 6.0), ('u5b', 5.0), ('30d', 6.0)]"
