Code,Type (a-polit; b-özdem.),points (x-answersheet missing),PercentageMock,GradeMock
rji,a,6.0,88.0,1.7
rvu,a,18.0,64.0,3.3
s44,a,9.0,82.0,2.0
snv,b,12.0,76.0,2.3
swx,a,20.0,60.0,3.3
t6m,a,11.0,78.0,2.3
ras,b,12.0,76.0,2.3
tmy,a,12.0,76.0,2.3
tuf,a,30.0,40.0,5.0
twg,b,12.0,76.0,2.3
u5b,b,12.0,76.0,2.3
udo,a,26.0,48.0,5.0
ump,a,12.0,76.0,2.3
un5,b,17.0,66.0,3.0
upq,b,9.0,82.0,2.0
uqn,b,9.0,82.0,2.0
uzs,a,18.0,64.0,3.3
vhs,b,29.0,42.0,5.0
vja,b,24.0,52.0,4.0
vkx,b,15.0,70.0,2.7
vpi,b,9.0,82.0,2.0
vrj,b,9.0,82.0,2.0
vug,a,12.0,76.0,2.3
w10,a,24.0,52.0,4.0
w9x,a,21.0,57.99999999999999,3.7
wep,a,18.0,64.0,3.3
wom,b,6.0,88.0,1.7
wto,a,3.0,94.0,1.3
wu1,a,35.0,30.0,5.0
wv9,b,23.0,54.0,4.0
xfz,b,6.0,88.0,1.7
xlt,b,9.0,82.0,2.0
y03,b,27.0,46.0,5.0
yby,a,15.0,70.0,2.7
yc4,b,,,5.0
yo0,b,27.0,46.0,5.0
yvz,b,6.0,88.0,1.7
yws,a,23.0,54.0,4.0
yyj,b,15.0,70.0,2.7
z63,b,12.0,76.0,2.3
zda,a,15.0,70.0,2.7
zfv,b,24.0,52.0,4.0
zit,a,18.0,64.0,3.3
zme,b,15.0,70.0,2.7
zrm,a,12.0,76.0,2.3
zvr,a,18.0,64.0,3.3
